cnt,pdate,title,description,org_link,link
61,2024-02-14 17:26:00,"삼성전자, DX부문 90여개 직무서 '경력사원' 채용","2년 이상 경력의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC)... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 고객 경험·멀티디바이스경험(CX·MDE) 관련 경험자를... ",https://weekly.hankooki.com/news/articleView.html?idxno=7084356,https://weekly.hankooki.com/news/articleView.html?idxno=7084356
62,2024-02-14 17:18:00,국내 첫 스노우플레이크 ‘<b>데이터</b> 슈퍼히어로’ 3인 배출,"글로벌 데이터 클라우드 기업 스노우플레이크는 넥슨코리아 이재면 <b>데이터 엔지니어</b>, 더핑크퐁컴퍼니 한예성 소프트웨어 엔지니어, 메가존클라우드 클라우드 솔루션즈 아키텍트(Cloud Solutions Architect, 클라우드 SA)... ",https://byline.network/?p=9004111222527171,https://byline.network/?p=9004111222527171
63,2024-02-14 17:14:00,"이재용 &quot;기술 인재 핵심 경쟁력&quot;…삼성전자, 대규모 경력사원 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험... ",https://www.smarttoday.co.kr/news/articleView.html?idxno=43691,https://www.smarttoday.co.kr/news/articleView.html?idxno=43691
64,2024-02-14 17:11:00,"JY &quot;기술 인재가 미래 핵심&quot;…삼성전자, 전방위 경력 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템·시스템온칩(SoC) 개발... 모바일 애플리케이션 프로세서(AP) 공급업체와 저전력 AP 설계를 위한 개선 방향을 논의할 D램 <b>엔지니어</b> 역시... ",http://www.edaily.co.kr/news/newspath.asp?newsid=03703126638790520,https://n.news.naver.com/mnews/article/018/0005673347?sid=101
65,2024-02-14 17:10:00,"삼성전자, AI·반도체·가전·전장 등 전 부문서 경력 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC)... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험(CX... ",https://www.ajunews.com/view/20240214170337220,https://www.ajunews.com/view/20240214170337220
66,2024-02-14 17:10:00,"마이크로소프트, 2024년 주목해야 할 3가지 AI 트렌드 공개",또한 선별된 고품질 학습 <b>데이터</b>를 사용해 보다 정확한 결과를 얻을 수 있다. 이에 반해 방대한 양의... 제니퍼 마스맨(Jennifer Marsman) 마이크로소프트 CTO오피스 수석 <b>엔지니어</b>는 &quot;멀티 모달리티(Multimodality)는... ,https://www.dailysecu.com/news/articleView.html?idxno=153546,https://www.dailysecu.com/news/articleView.html?idxno=153546
67,2024-02-14 17:02:00,마이크로소프트가 본 2024년 주목해야 할 3가지 AI 트렌드,또한 선별된 고품질 학습 <b>데이터</b>를 사용해 보다 정확한 결과를 얻을 수 있다. 이에 반해 방대한 양의... 제니퍼 마스맨(Jennifer Marsman) 마이크로소프트 CTO오피스 수석 <b>엔지니어</b>는 “멀티 모달리티(Multimodality)는... ,https://byline.network/?p=9004111222527167,https://byline.network/?p=9004111222527167
68,2024-02-14 17:00:00,"삼성전자, 경력사원 대거 채용...&quot;미래는 인재 확보·육성에 달라질 것&quot;","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험... ",https://www.fetv.co.kr/news/article.html?no=158949,https://www.fetv.co.kr/news/article.html?no=158949
69,2024-02-14 17:00:00,"코리아엑스퍼트, 2024년 신입·경력 공개채용 진행","채용 분야는 △IT 솔루션 영업 담당자 △DT 솔루션 <b>엔지니어</b> △의사결정 자동화 솔루션 <b>엔지니어</b> △자바... 또한 의사결정 자동화를 위한 기존 패키지 사업 고도화 외에도 인공지능(AI)·빅<b>데이터</b> 분석, ML옵스(Ops)... ",http://www.itdaily.kr/news/articleView.html?idxno=220374,http://www.itdaily.kr/news/articleView.html?idxno=220374
70,2024-02-14 17:00:00,"엔비디아, 그래픽 작업 최적화 GPU 'RTX 2000 에이다 제너레이션' 출시",이 제품은 디자이너와 <b>엔지니어</b>가 더 큰 <b>데이터</b>세트에서도 완전한 모델 충실도로 혁신적인 제품 경험을 빠르게 개발할 수 있도록 뛰어난 성능을 제공한다&quot;고 말했다. 롭 월커스 디자인 앤 <b>엔지니어</b>링의 롭... ,http://www.itdaily.kr/news/articleView.html?idxno=220378,http://www.itdaily.kr/news/articleView.html?idxno=220378
