cnt,pdate,title,description,org_link,link
788,2023-01-21 14:23:00,&quot;과일 세트 제쳤다&quot;…설 명절 앞두고 불티나게 팔린 것은?,"카카오 출신 <b>데이터 분석가</b>들이 개발자 주축을 이루고 있다. 지난해 네이버의 기업형 액셀러레이터(AC)인 D2SF 투자를 받으며 이름을 알렸다. 매쉬업엔젤스, 롯데벤처스 등도 주요 투자사다. 자사 플랫폼인 라플라스... ",https://www.hankyung.com/it/article/202301206802i,https://n.news.naver.com/mnews/article/015/0004802308?sid=105
789,2023-01-20 10:07:00,"넷플릭스, 가입자 예상밖 급증에 시간외서 급등 (영상)","외환 중개업체 오안다의 에드 모야 수석 시장<b>분석가</b>는 “대규모 해고에도 고용시장이 여전히 뜨겁다”며... 2세대 코로나, 독감 백신 임상 1상 <b>데이터</b>에서 가능성을 발견했다는 이유에서다. 큐어백은 올 들어 70%의... ",http://www.edaily.co.kr/news/newspath.asp?newsid=01945046635479688,https://n.news.naver.com/mnews/article/018/0005409991?sid=101
790,2023-01-20 07:50:00,'아직 뜨거운' 노동시장에 금리 우려...美증시↓[뉴욕마감](종합),실질적인 <b>데이터</b> 중 하나다. 마켓워치는 &quot;실업수당 청구건수는 경제가 침체로 치닫고 있을 때 악화되는... 오안다의 에드 모야 선임시장<b>분석가</b>는 &quot;빅테크 기업들의 해고 움직임에도 불구하고 고용시장은 여전히... ,http://news.mt.co.kr/mtview.php?no=2023012007453020430,https://n.news.naver.com/mnews/article/008/0004842513?sid=101
791,2023-01-20 06:56:00,'금리인상 지속' 우려에 美증시 하락...에너지주 강세[뉴욕마감],실질적인 <b>데이터</b> 중 하나다. 마켓워치는 &quot;실업수당 청구건수는 경제가 침체로 치닫고 있을 때 악화되는... 오안다의 에드 모야 선임시장<b>분석가</b>는 &quot;빅테크 기업들의 해고 움직임에도 불구하고 고용시장은 여전히... ,http://news.mt.co.kr/mtview.php?no=2023012006542317316,https://n.news.naver.com/mnews/article/008/0004842499?sid=101
792,2023-01-19 05:42:00,&quot;당신의 모든 것이 메시지이며 <b>빅데이터</b>다&quot; 마인드마이너 송길영의 『그냥 하...,"대한민국 최고의 <b>데이터 분석가</b> 송길영이 바라본 10년의 변화상, 10년의 미래상! 우리는 흔히 '미래를 알 수 없다'고 생각하지만, 그렇지 않다. 과거와 지금을 보고, 그 안에 담긴 사람들의 욕망을 이해할 수 있으면 미래의... ",https://www.lecturernews.com/news/articleView.html?idxno=117120,https://www.lecturernews.com/news/articleView.html?idxno=117120
793,2023-01-18 19:10:00,"KT, '실무형 AI인재'로 채용 한파 뚫는다",직무별로 살펴보면 △AI 개발직무(1028명) △AI 프로젝트 담당자(221명) △AI <b>데이터 분석가</b>(111명) △<b>데이터</b> 가공·처리 담당자(110명) 순으로 인력이 부족했다. 정부도 오는 2026년까지 군 AI 전문인력 1000명과 디지털산업... ,http://news.tf.co.kr/read/economy/1993388.htm,https://n.news.naver.com/mnews/article/629/0000196328?sid=105
794,2023-01-18 18:02:00,"[초점] 중국 기술주, 60% 급등 866조원 규모 회복…랠리 어디까지 갈까?",최근 중국 주식에 대한 관심은 중국 주식시장에 뛰어들 것을 경계하던 <b>분석가</b>들이 중국에 대한 긍정적인... 거래 <b>데이터</b>로 보면 최근 홍콩 H지수 반등은 주로 헤지펀드와 숏커버링에 의해 주도되었을 가능성이 높다고... ,http://www.g-enews.com/ko-kr/news/article/news_all/202301181658349391658ae4d6a0_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202301181658349391658ae4d6a0_1/article.html
795,2023-01-18 15:20:00,&quot;경력같은 신입&quot;…AI·DX 인력난 해결사된 'KT에이블스쿨',"직무별 부족 인력을 살펴보면 AI 개발자 직무가 1028명으로 가장 많았고, AI 프로젝트 담당자 221명, AI <b>데이터 분석가</b> 111명, <b>데이터</b> 가공·처리 담당자 110명 등의 순으로 인력이 부족했다. 반면 AI 인력 수요는 더 많아질... ",https://www.dailian.co.kr/news/view/1194119/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002676582?sid=105
796,2023-01-18 14:46:00,빅테크에서 금융 등 타 업종으로 정리해고 확산,"그것이 <b>데이터</b> 지연의 원인이 될 수 있다. 그러나 골드만 <b>분석가</b>들은 최근 근로자 조정 및 재훈련 통지법(WARN)에 따라 제출된 사전 해고 통지서를 검토한 결과, 최근 이러한 신청이 증가했지만 &quot;이미 역사적으로 낮은... ",http://www.fortunekorea.co.kr/news/articleView.html?idxno=25902,http://www.fortunekorea.co.kr/news/articleView.html?idxno=25902
797,2023-01-18 13:14:00,"[테크리포트]2023 <b>데이터</b> 키워드②자연어(NLP) 합세한 증강 분석, 실시간 인사...",이러한 특징들은 <b>데이터</b> 분석의 민주화로 이어지는데 가트너는 &quot;증강의 초점이 <b>분석가</b>에게서 소비자 혹은 의사결정자로 점점 이동하고 있다&quot;고 지적했다. 전문 <b>데이터</b> 과학자나 IT의 기술 지원이 일상의 분석... ,http://www.nextdaily.co.kr/news/articleView.html?idxno=214563,http://www.nextdaily.co.kr/news/articleView.html?idxno=214563
