,기타
37,"['/', '토익:', '790', '/', '사회생활', '경험:', '한국정보사회진흥원', '인턴', '4개월', '/', '공모전', '수상', '1회']"
38,"['/', '토익:', '790', '/', '사회생활', '경험:', '공공데이터', '인턴', '4개월', '/', '공모전', '수상', '1회']"
39,"['/', '사회생활', '경험:', '넥스챌', '9개월', '/', '특허', '/', '한국사검정시험:', '고급,', '기타:', '정보처리기사,', 'SQLD']"
40,"['/', '오픽:', 'IH', '/', '사회생활', '경험:', '삼성전자', '인턴', '4개월']"
41,"['/', '토익:', '960', '/', '사회생활', '경험:', '뤼이드', '인턴', '7개월']"
42,"['/', '토익:', '730', '/', '국민연금', '홍보대사,', '하이트진로', '서포터즈', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급']"
43,"['/', '오픽:', 'IH', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '2급']"
44,"['/', '토익:', '910,', '토익스피킹:', '150/lv6', '/', '사회생활', '경험:', '스타트업', '빅데이터분석가', '인턴', '3개월', '/', '일반기계기사']"
45,"['/', '지역', '축제', '스태프', '/', '한국사검정시험:', '고급']"
46,"['/', '토익스피킹:', '130/6', '/', '한앎(토론동아리)', '/', '기타:', '품질경영기사,ADsP,SQLD']"
47,"['/', '토익:', '890,', '오픽:', 'AL', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급']"
48,"['/', '토익스피킹:', '130/레벨6', '/', '사회생활', '경험:', '포레시아', '코리아', '인턴', '1개월,', '(주)나라엘', '아르바이트', '2개월,', '(주)월드센추리', '아르바이트', '1개월', '/', '교내', '축구', '동아리', '/', '컴퓨터활용능력:', '2급,', '기타:', '6시그마', 'BB']"
49,"['/', '토익:', '820', '/', '한국사검정시험:', '고급,', '기타:', '정보처리기사']"
50,"['/', '토익:', '840,', '오픽:', 'IM2', '/', '사회생활', '경험:', '중소', '유통', '1개월,', '행안부', '청년인턴', '4개월', '/', '기타:', '정보처리기사']"
51,"['/', '토익:', '925', '/', '사회생활', '경험:', '알바', '다수', '/', '연합동아리,', '교내', '경진대회', '수상']"
52,"['/', '토익:', '960', '/', '사회생활', '경험:', '뤼이드', '인턴', '7개월']"
